t,u,rf
3.141079999999999983e-01,2.198750000000000071e+01,1.305089999999999861e+02
3.225450000000000261e-01,2.257819999999999894e+01,1.330399999999999920e+02
3.346740000000000270e-01,2.342719999999999914e+01,1.366310000000000002e+02
3.417930000000000135e-01,2.392549999999999955e+01,1.387299999999999898e+02
3.536679999999999824e-01,2.475679999999999836e+01,1.422110000000000127e+02
3.621059999999999834e-01,2.534740000000000038e+01,1.446680000000000064e+02
3.705430000000000113e-01,2.593799999999999883e+01,1.471229999999999905e+02
3.874179999999999846e-01,2.711929999999999907e+01,1.519540000000000077e+02
3.958559999999999857e-01,2.770990000000000109e+01,1.543429999999999893e+02
4.042930000000000135e-01,2.830049999999999955e+01,1.567280000000000086e+02
4.127310000000000145e-01,2.889110000000000156e+01,1.590910000000000082e+02
4.211679999999999868e-01,2.948179999999999978e+01,1.614519999999999982e+02
4.380430000000000157e-01,3.066300000000000026e+01,1.661250000000000000e+02
4.464810000000000167e-01,3.125359999999999872e+01,1.684379999999999882e+02
4.549179999999999890e-01,3.184430000000000049e+01,1.707479999999999905e+02
4.623010000000000175e-01,3.236110000000000042e+01,1.727549999999999955e+02
4.714960000000000262e-01,3.300480000000000302e+01,1.752439999999999998e+02
4.815079999999999916e-01,3.370550000000000068e+01,1.779379999999999882e+02
4.922070000000000056e-01,3.445450000000000301e+01,1.808079999999999927e+02
5.023100000000000342e-01,3.516170000000000329e+01,1.834970000000000141e+02
5.127389999999999448e-01,3.589180000000000348e+01,1.862460000000000093e+02
5.219350000000000378e-01,3.653540000000000276e+01,1.886450000000000102e+02
5.319460000000000299e-01,3.723619999999999663e+01,1.912340000000000089e+02
5.426459999999999617e-01,3.798519999999999897e+01,1.940250000000000057e+02
5.502479999999999594e-01,3.851740000000000208e+01,1.959399999999999977e+02
5.641540000000000443e-01,3.949080000000000013e+01,1.995219999999999914e+02
5.704820000000000446e-01,3.993379999999999797e+01,2.011339999999999861e+02
5.817539999999999933e-01,4.072279999999999944e+01,2.039610000000000127e+02
5.912650000000000405e-01,4.138859999999999673e+01,2.063360000000000127e+02
6.049919999999999742e-01,4.234940000000000282e+01,2.097150000000000034e+02
6.135439999999999783e-01,4.294809999999999661e+01,2.118050000000000068e+02
6.254189999999999472e-01,4.377929999999999922e+01,2.146730000000000018e+02
6.338570000000000038e-01,4.436999999999999744e+01,2.166870000000000118e+02
6.401069999999999816e-01,4.480749999999999744e+01,2.181699999999999875e+02
6.541690000000000005e-01,4.579180000000000206e+01,2.214540000000000077e+02
6.641690000000000094e-01,4.649179999999999779e+01,2.237690000000000055e+02
6.704189999999999872e-01,4.692929999999999779e+01,2.251850000000000023e+02
6.813179999999999792e-01,4.769219999999999970e+01,2.276220000000000141e+02
