t,u,rf
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.058500000000000066e-02,5.292510000000000270e-03,2.639509999999999934e+01
2.058499999999999913e-02,1.029249999999999957e-02,2.966379999999999839e+01
3.058500000000000107e-02,1.529250000000000054e-02,3.290849999999999653e+01
4.058500000000000302e-02,2.029250000000000151e-02,3.612939999999999685e+01
5.058499999999999802e-02,2.529249999999999901e-02,3.932699999999999818e+01
6.058499999999999996e-02,3.029249999999999998e-02,4.250160000000000338e+01
7.058499999999999497e-02,3.529249999999999748e-02,4.565379999999999683e+01
8.058500000000000385e-02,4.029250000000000193e-02,4.878390000000000271e+01
9.058499999999999885e-02,4.529249999999999943e-02,5.189249999999999829e+01
1.005849999999999939e-01,5.029249999999999693e-02,5.497999999999999687e+01
1.105850000000000027e-01,5.529250000000000137e-02,5.804670000000000130e+01
1.205849999999999977e-01,6.029249999999999887e-02,6.109329999999999927e+01
1.305850000000000066e-01,6.529250000000000331e-02,6.411990000000000123e+01
1.405849999999999878e-01,7.029249999999999388e-02,6.712709999999999866e+01
1.505849999999999966e-01,7.529249999999999832e-02,7.011530000000000484e+01
1.605850000000000055e-01,8.029250000000000276e-02,7.308459999999999468e+01
1.705849999999999866e-01,8.529249999999999332e-02,7.603560000000000230e+01
1.805849999999999955e-01,9.029249999999999776e-02,7.896829999999999927e+01
1.905850000000000044e-01,9.529250000000000220e-02,8.188309999999999889e+01
2.005850000000000133e-01,1.002929999999999933e-01,8.478000000000000114e+01
2.105849999999999944e-01,1.052929999999999977e-01,8.765909999999999513e+01
2.205850000000000033e-01,1.102930000000000021e-01,9.052020000000000266e+01
2.305850000000000122e-01,1.152930000000000066e-01,9.336299999999999955e+01
2.405849999999999933e-01,1.202929999999999972e-01,9.618689999999999429e+01
2.505850000000000022e-01,1.252929999999999877e-01,9.899089999999999634e+01
2.605850000000000111e-01,1.302929999999999922e-01,1.017740000000000009e+02
2.705850000000000199e-01,1.352929999999999966e-01,1.045340000000000060e+02
2.805849999999999733e-01,1.402930000000000010e-01,1.072680000000000007e+02
2.905849999999999822e-01,1.452930000000000055e-01,1.099749999999999943e+02
3.005849999999999911e-01,1.502930000000000099e-01,1.126490000000000009e+02
3.105850000000000000e-01,1.552929999999999866e-01,1.152870000000000061e+02
3.205850000000000088e-01,1.602929999999999910e-01,1.178850000000000051e+02
3.305850000000000177e-01,1.652929999999999955e-01,1.204399999999999977e+02
