t,u,rf
3.405850000000000266e-01,1.702929999999999999e-01,1.229470000000000027e+02
3.505849999999999800e-01,1.752930000000000044e-01,1.254050000000000011e+02
3.605849999999999889e-01,1.802920000000000078e-01,1.278130000000000024e+02
3.705849999999999977e-01,1.852930000000000132e-01,1.301709999999999923e+02
3.805850000000000066e-01,1.902929999999999899e-01,1.324799999999999898e+02
3.905850000000000155e-01,1.952919999999999934e-01,1.347419999999999902e+02
4.005850000000000244e-01,2.002929999999999988e-01,1.369600000000000080e+02
4.105849999999999778e-01,2.052930000000000033e-01,1.391339999999999861e+02
4.205849999999999866e-01,2.102920000000000067e-01,1.412669999999999959e+02
4.305849999999999955e-01,2.152930000000000121e-01,1.433619999999999948e+02
4.405850000000000044e-01,2.202929999999999888e-01,1.454190000000000111e+02
4.505850000000000133e-01,2.252929999999999933e-01,1.474410000000000025e+02
4.605850000000000222e-01,2.302929999999999977e-01,1.494290000000000020e+02
4.705849999999999755e-01,2.352930000000000021e-01,1.513830000000000098e+02
4.805849999999999844e-01,2.402930000000000066e-01,1.533050000000000068e+02
4.905849999999999933e-01,2.452930000000000110e-01,1.551959999999999980e+02
5.005849999999999467e-01,2.502929999999999877e-01,1.570560000000000116e+02
5.105849999999999556e-01,2.552929999999999922e-01,1.588859999999999957e+02
5.205849999999999644e-01,2.602929999999999966e-01,1.606860000000000070e+02
5.305849999999999733e-01,2.652919999999999723e-01,1.624579999999999984e+02
5.405849999999999822e-01,2.702930000000000055e-01,1.642009999999999934e+02
5.505849999999999911e-01,2.752930000000000099e-01,1.659159999999999968e+02
5.605850000000000000e-01,2.802930000000000144e-01,1.676040000000000134e+02
5.705850000000000088e-01,2.852930000000000188e-01,1.692649999999999864e+02
5.805850000000000177e-01,2.902930000000000232e-01,1.709000000000000057e+02
5.905850000000000266e-01,2.952930000000000277e-01,1.725080000000000098e+02
6.005850000000000355e-01,3.002929999999999766e-01,1.740910000000000082e+02
6.105850000000000444e-01,3.052929999999999811e-01,1.756479999999999961e+02
6.205850000000000533e-01,3.102929999999999855e-01,1.771800000000000068e+02
6.305849999999999511e-01,3.152929999999999899e-01,1.786870000000000118e+02
6.405849999999999600e-01,3.202929999999999944e-01,1.801699999999999875e+02
6.505849999999999689e-01,3.252929999999999988e-01,1.816289999999999907e+02
6.605849999999999778e-01,3.302930000000000033e-01,1.830649999999999977e+02
6.705849999999999866e-01,3.352930000000000077e-01,1.844770000000000039e+02
6.805849999999999955e-01,3.402930000000000121e-01,1.858660000000000139e+02
6.905850000000000044e-01,3.452930000000000166e-01,1.872319999999999993e+02
7.005850000000000133e-01,3.502930000000000210e-01,1.885759999999999934e+02
7.105850000000000222e-01,3.552930000000000255e-01,1.898990000000000009e+02
7.205850000000000311e-01,3.602920000000000011e-01,1.911990000000000123e+02
7.305850000000000399e-01,3.652929999999999788e-01,1.924780000000000086e+02
7.405850000000000488e-01,3.702929999999999833e-01,1.937359999999999900e+02
7.505849999999999467e-01,3.752929999999999877e-01,1.949730000000000132e+02
7.605849999999999556e-01,3.802929999999999922e-01,1.961899999999999977e+02
7.705849999999999644e-01,3.852929999999999966e-01,1.973859999999999957e+02
7.805849999999999733e-01,3.902919999999999723e-01,1.985620000000000118e+02
7.905849999999999822e-01,3.952930000000000055e-01,1.997189999999999941e+02
8.005849999999999911e-01,4.002930000000000099e-01,2.008559999999999945e+02
8.105850000000000000e-01,4.052930000000000144e-01,2.019739999999999895e+02
8.205850000000000088e-01,4.102930000000000188e-01,2.030740000000000123e+02
8.305850000000000177e-01,4.152930000000000232e-01,2.041539999999999964e+02
8.405850000000000266e-01,4.202930000000000277e-01,2.052170000000000130e+02
8.505850000000000355e-01,4.252929999999999766e-01,2.062609999999999957e+02
8.605850000000000444e-01,4.302929999999999811e-01,2.072870000000000061e+02
8.705850000000000533e-01,4.352929999999999855e-01,2.082959999999999923e+02
8.805849999999999511e-01,4.402929999999999899e-01,2.092880000000000109e+02
8.905849999999999600e-01,4.452929999999999944e-01,2.102620000000000005e+02
9.005849999999999689e-01,4.502929999999999988e-01,2.112189999999999941e+02
9.105849999999999778e-01,4.552930000000000033e-01,2.121599999999999966e+02
9.205849999999999866e-01,4.602930000000000077e-01,2.130840000000000032e+02
9.305849999999999955e-01,4.652930000000000121e-01,2.139929999999999950e+02
9.405850000000000044e-01,4.702930000000000166e-01,2.148849999999999909e+02
9.505850000000000133e-01,4.752930000000000210e-01,2.157609999999999957e+02
9.605850000000000222e-01,4.802930000000000255e-01,2.166220000000000141e+02
9.705850000000000311e-01,4.852920000000000011e-01,2.174679999999999893e+02
9.805850000000000399e-01,4.902929999999999788e-01,2.182980000000000018e+02
9.905850000000000488e-01,4.952929999999999833e-01,2.191140000000000043e+02
1.000000000000000000e+00,5.000000000000000000e-01,2.198689999999999998e+02
