t,u,rf
7.407780000000000475e-01,3.703889999999999816e+01,1.945550000000000068e+02
7.507779999999999454e-01,3.753889999999999816e+01,1.957969999999999970e+02
7.607779999999999543e-01,3.803889999999999816e+01,1.970180000000000007e+02
7.707779999999999632e-01,3.853889999999999816e+01,1.982189999999999941e+02
7.807779999999999720e-01,3.903889999999999816e+01,1.994000000000000057e+02
7.907779999999999809e-01,3.953889999999999816e+01,2.005610000000000070e+02
8.007779999999999898e-01,4.003889999999999816e+01,2.017030000000000030e+02
8.107779999999999987e-01,4.053889999999999816e+01,2.028249999999999886e+02
8.207780000000000076e-01,4.103889999999999816e+01,2.039290000000000020e+02
8.307780000000000165e-01,4.153889999999999816e+01,2.050130000000000052e+02
8.407780000000000253e-01,4.203889999999999816e+01,2.060790000000000077e+02
8.507780000000000342e-01,4.253889999999999816e+01,2.071270000000000095e+02
8.607780000000000431e-01,4.303889999999999816e+01,2.081570000000000107e+02
8.707780000000000520e-01,4.353889999999999816e+01,2.091690000000000111e+02
8.807779999999999498e-01,4.403889999999999816e+01,2.101639999999999873e+02
8.907779999999999587e-01,4.453889999999999816e+01,2.111409999999999911e+02
9.007779999999999676e-01,4.503889999999999816e+01,2.121009999999999991e+02
9.107779999999999765e-01,4.553889999999999816e+01,2.130449999999999875e+02
9.207779999999999854e-01,4.603889999999999816e+01,2.139720000000000084e+02
9.307779999999999943e-01,4.653889999999999816e+01,2.148820000000000050e+02
9.407780000000000031e-01,4.703889999999999816e+01,2.157769999999999868e+02
9.507780000000000120e-01,4.753889999999999816e+01,2.166560000000000059e+02
9.607780000000000209e-01,4.803889999999999816e+01,2.175190000000000055e+02
9.707780000000000298e-01,4.853889999999999816e+01,2.183669999999999902e+02
9.807780000000000387e-01,4.903889999999999816e+01,2.191990000000000123e+02
9.907780000000000475e-01,4.953889999999999816e+01,2.200159999999999911e+02
1.000000000000000000e+00,5.000000000000000000e+01,2.207570000000000050e+02
